Id,SourceId,School,Mascot,Abbreviation,DisplayName,ShortDisplayName,PrimaryColor,SecondaryColor,CurrentVenueId,CurrentVenue,CurrentCity,CurrentState,ConferenceId,Conference
51,2132,Cincinnati,Bearcats,CIN,Cincinnati Bearcats,Cincinnati,000000,717073,14.0,Fifth Third Arena,Cincinnati,OH,6.0,Big 12
312,2116,UCF,Knights,UCF,UCF Knights,UCF,000000,b4a269,10.0,Addition Financial Arena,Orlando,FL,6.0,Big 12
11,12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,8.0,McKale Memorial Center,Tucson,AZ,6.0,Big 12
331,254,Utah,Utes,UTAH,Utah Utes,Utah,ea002a,ffffff,173.0,Jon M. Huntsman Center,Salt Lake City,UT,6.0,Big 12
10,9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona St,8e0c3a,ffc72c,203.0,Desert Financial Arena,Tempe,AZ,6.0,Big 12
338,222,Villanova,Wildcats,VILL,Villanova Wildcats,Villanova,00205b,13b5ea,140.0,Finneran Pavilion,Villanova,PA,7.0,Big East
97,46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,226.0,Capital One Arena,Washington,DC,7.0,Big East
279,2599,St. John's,Red Storm,SJU,St. John's Red Storm,St John's,d10000,101010,38.0,Carnesecca Arena,Queens,NY,7.0,Big East
235,2507,Providence,Friars,PROV,Providence Friars,Providence,000000,a3a19e,82.0,Amica Mutual Pavilion,Providence,RI,7.0,Big East
263,2550,Seton Hall,Pirates,HALL,Seton Hall Pirates,Seton Hall,0857B1,8a8d8f,107.0,Prudential Center,Newark,NJ,7.0,Big East
157,269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,003366,ffcc00,12.0,Fiserv Forum,Milwaukee,WI,7.0,Big East
61,156,Creighton,Bluejays,CREI,Creighton Bluejays,Creighton,005ca9,6cadde,210.0,CHI Health Center Omaha,Omaha,NE,7.0,Big East
359,2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,21304e,a5a7a8,106.0,Cintas Center,Cincinnati,OH,7.0,Big East
65,305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,141.0,Wintrust Arena,Chicago,IL,7.0,Big East
34,2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,00a3e0,40.0,Hinkle Fieldhouse,Indianapolis,IN,7.0,Big East
345,2692,Weber State,Wildcats,WEB,Weber State Wildcats,Weber St,18005a,ebebeb,174.0,Dee Events Center,Ogden,UT,8.0,Big Sky
179,149,Montana,Grizzlies,MONT,Montana Grizzlies,Montana,751D4A,666666,171.0,Dahlberg Arena,Missoula,MT,8.0,Big Sky
180,147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana St,00205c,bc955c,330.0,Worthington Arena,Bozeman,MT,8.0,Big Sky
116,304,Idaho State,Bengals,IDST,Idaho State Bengals,Idaho St,ef8c00,e9a126,329.0,ICCU Dome,Pocatello,ID,8.0,Big Sky
206,2464,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,438.0,J. Lawrence Walkup Skydome,Flagstaff,AZ,8.0,Big Sky
80,331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,abb4bc,236.0,Reese Court,Cheney,WA,8.0,Big Sky
231,2502,Portland State,Vikings,PRST,Portland State Vikings,Portland St,00311e,ebebeb,261.0,Viking Pavilion,Portland,OR,8.0,Big Sky
207,2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,188.0,Bank of Colorado Arena,Greeley,CO,8.0,Big Sky
249,16,Sacramento State,Hornets,SAC,Sacramento State Hornets,Sacramento St,00573C,cdb97d,206.0,The Nest,Sacramento,CA,8.0,Big Sky
354,2737,Winthrop,Eagles,WIN,Winthrop Eagles,Winthrop,9e0b0e,fdb41e,37.0,Winthrop Coliseum,Rock Hill,SC,9.0,Big South
239,2515,Radford,Highlanders,RAD,Radford Highlanders,Radford,BC1515,c2c3c0,274.0,The Dedmon Center,Radford,VA,9.0,Big South
319,2427,UNC Asheville,Bulldogs,UNCA,UNC Asheville Bulldogs,UNC Asheville,003da5,ffffff,413.0,Kimmel Arena,Asheville,NC,9.0,Big South
47,2127,Charleston Southern,Buccaneers,CHSO,Charleston Southern Buccaneers,Charleston So,2e3192,ded090,327.0,Buccaneer Fieldhouse,Charleston,SC,9.0,Big South
109,2272,High Point,Panthers,HPU,High Point Panthers,High Point,b0b7bc,ebebeb,222.0,Qubein Center,High Point,NC,9.0,Big South
94,2241,Gardner-Webb,Runnin' Bulldogs,GWEB,Gardner-Webb Runnin' Bulldogs,Gardner-Webb,c12535,909090,363.0,Paul Porter Arena,Boiling Springs,NC,9.0,Big South
147,2344,Longwood,Lancers,LONG,Longwood Lancers,Longwood,003273,9ea2a3,105.0,Joan Perry Brock Center,Farmville,VA,9.0,Big South
233,2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,221.0,Templeton Center,Clinton,SC,9.0,Big South
268,2908,South Carolina Upstate,Spartans,UPST,South Carolina Upstate Spartans,SC Upstate,008545,000000,223.0,G.B. Hodge Center,Spartanburg,SC,9.0,Big South
236,2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,000000,cfb991,11.0,Mackey Arena,West Lafayette,IN,10.0,Big Ten
121,84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,990000,edebeb,212.0,Simon Skjodt Assembly Hall,Bloomington,IN,10.0,Big Ten
118,356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,ff5f05,13294b,149.0,State Farm Center,Champaign,IL,10.0,Big Ten
216,194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ce1141,505056,324.0,Schottenstein Center,Columbus,OH,10.0,Big Ten
124,2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,fcd116,144.0,Carver-Hawkeye Arena,Iowa City,IA,10.0,Big Ten
355,275,Wisconsin,Badgers,WIS,Wisconsin Badgers,Wisconsin,c4012f,ffffff,142.0,Kohl Center,Madison,WI,10.0,Big Ten
173,135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,5e0a2f,fab41c,231.0,Williams Arena,Minneapolis,MN,10.0,Big Ten
170,130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,148.0,Crisler Center,Ann Arbor,MI,10.0,Big Ten
169,127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453b,ffffff,63.0,Breslin Center,East Lansing,MI,10.0,Big Ten
212,77,Northwestern,Wildcats,NU,Northwestern Wildcats,Northwestern,582c83,ffffff,143.0,Welsh-Ryan Arena,Evanston,IL,10.0,Big Ten
226,213,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Penn State,00265D,002e5c,108.0,Bryce Jordan Center,University Park,PA,10.0,Big Ten
160,120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,86.0,XFINITY Center,College Park,MD,10.0,Big Ten
188,158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,d00000,ffffff,147.0,Pinnacle Bank Arena,Lincoln,NE,10.0,Big Ten
245,164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,213.0,Jersey Mike’s Arena,Piscataway,NJ,10.0,Big Ten
223,2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,007030,fee11a,191.0,Matthew Knight Arena,Eugene,OR,10.0,Big Ten
313,26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,16.0,Pauley Pavilion,Los Angeles,CA,10.0,Big Ten
323,30,USC,Trojans,USC,USC Trojans,USC,9e2237,ffcc00,187.0,Galen Center,Los Angeles,CA,10.0,Big Ten
343,264,Washington,Huskies,WASH,Washington Huskies,Washington,33006f,e8d3a2,207.0,Alaska Airlines Arena,Seattle,WA,10.0,Big Ten
145,299,Long Beach State,Beach,LBSU,Long Beach State Beach,Long Beach St,000000,f1f2f3,190.0,Walter Pyramid,Long Beach,CA,11.0,Big West
308,300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e,192.0,Bren Events Center,Irvine,CA,11.0,Big West
37,2239,Cal State Fullerton,Titans,CSUF,Cal State Fullerton Titans,Fullerton,003767,ff8300,374.0,Titan Gym,Fullerton,CA,11.0,Big West
35,13,Cal Poly,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897,323.0,Mott Athletics Center,San Luis Obispo,CA,11.0,Big West
38,2463,Cal State Northridge,Matadors,CSUN,Cal State Northridge Matadors,CSU Northridge,b50000,,351.0,Premier America Credit Union Arena,Northridge,CA,11.0,Big West
309,27,UC Riverside,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,,358.0,SRC Arena,Riverside,CA,11.0,Big West
307,302,UC Davis,Aggies,UCD,UC Davis Aggies,UC Davis,002855,c3c4c6,342.0,University Credit Union Center,Davis,CA,11.0,Big West
108,62,Hawai'i,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai'i,003420,ffffff,288.0,Stan Sheriff Center,Honolulu,HI,11.0,Big West
310,28,UC San Diego,Tritons,UCSD,UC San Diego Tritons,UC San Diego,182B49,FFCD00,315.0,LionTree Arena,San Diego,CA,11.0,Big West
36,2934,Cal State Bakersfield,Roadrunners,CSUB,Cal State Bakersfield Roadrunners,Bakersfield,003BAB,,243.0,Icardo Center,Bakersfield,CA,11.0,Big West
321,350,UNC Wilmington,Seahawks,UNCW,UNC Wilmington Seahawks,UNC Wilmington,00665e,ffda00,51.0,Trask Coliseum,Wilmington,NC,12.0,CAA
110,2275,Hofstra,Pride,HOF,Hofstra Pride,Hofstra,00337c,f6c934,27.0,David S. Mack Sports and Exhibition Complex,Hempstead,NY,12.0,CAA
71,2182,Drexel,Dragons,DREX,Drexel Dragons,Drexel,020260,ffd65a,33.0,Daskalakis Athletic Center,Philadelphia,PA,12.0,CAA
205,111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,320.0,Matthews Arena,Boston,MA,12.0,CAA
46,232,Charleston,Cougars,COFC,Charleston Cougars,Charleston,7a2531,9e8959,275.0,TD Arena,Charleston,SC,12.0,CAA
81,2210,Elon,Phoenix,ELON,Elon Phoenix,Elon,020303,b59a57,311.0,Schar Center,Elon,NC,12.0,CAA
285,2619,Stony Brook,Seawolves,STBK,Stony Brook Seawolves,Stony Brook,990000,,370.0,Island FCU Arena,Stony Brook,NY,12.0,CAA
178,2405,Monmouth,Hawks,MONM,Monmouth Hawks,Monmouth,051844,,433.0,OceanFirst Bank Center,West Long Branch,NJ,12.0,CAA
106,2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,52.0,Convocation Center (VA),Hampton,VA,12.0,CAA
198,2448,North Carolina A&T,Aggies,NCAT,North Carolina A&T Aggies,NC A&T,0505aa,004684,41.0,Corbett Sports Center,Greensboro,NC,12.0,CAA
41,2097,Campbell,Fighting Camels,CAM,Campbell Fighting Camels,Campbell,000000,,100.0,John W. Pope Jr. Convocation Center,Buies Creek,NC,12.0,CAA
327,2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,166.0,Don Haskins Center,El Paso,TX,13.0,CUSA
149,2348,Louisiana Tech,Bulldogs,LT,Louisiana Tech Bulldogs,Louisiana Tech,002d65,d3313a,96.0,Thomas Assembly Center,Ruston,LA,13.0,CUSA
171,2393,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,MTSU,006db6,ffffff,20.0,Murphy Center,Murfreesboro,TN,13.0,CUSA
350,98,Western Kentucky,Hilltoppers,WKU,Western Kentucky Hilltoppers,Western KY,F32026,b3b5b8,122.0,E.A. Diddle Arena,Bowling Green,KY,13.0,CUSA
89,2229,Florida International,Panthers,FIU,Florida International Panthers,FIU,091731,c5960c,353.0,Ocean Bank Convocation Center,Miami,FL,13.0,CUSA
142,2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,a61f21,339.0,Liberty Arena,Lynchburg,VA,13.0,CUSA
255,2534,Sam Houston,Bearkats,SHSU,Sam Houston Bearkats,Sam Houston,fe5000,000000,386.0,Bernard G. Johnson Coliseum,Huntsville,TX,13.0,CUSA
128,55,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Jax State,b50500,b5b7ba,23.0,Pete Mathews Coliseum,Jacksonville,AL,13.0,CUSA
192,166,New Mexico State,Aggies,NMSU,New Mexico State Aggies,New Mexico St,891216,000000,167.0,Pan American Center,Las Cruces,NM,13.0,CUSA
133,338,Kennesaw State,Owls,KENN,Kennesaw State Owls,Kennesaw St,fdbb30,000000,199.0,KSU Convocation Center,Kennesaw,GA,13.0,CUSA
69,2174,Detroit Mercy,Titans,DETM,Detroit Mercy Titans,Detroit Mercy,165b9e,d31733,47.0,Calihan Hall,Detroit,MI,14.0,Horizon
357,2750,Wright State,Raiders,WRST,Wright State Raiders,Wright St,cba052,cba052,215.0,Nutter Center,Dayton,OH,14.0,Horizon
105,2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,273.0,Resch Center,Ashwaubenon,WI,14.0,Horizon
172,270,Milwaukee,Panthers,MILW,Milwaukee Panthers,Milwaukee,000000,ffc20e,391.0,UW-Milwaukee Panther Arena,Milwaukee,WI,14.0,Horizon
53,325,Cleveland State,Vikings,CLE,Cleveland State Vikings,Cleveland St,006633,231f20,217.0,Wolstein Center,Cleveland,OH,14.0,Horizon
361,2754,Youngstown State,Penguins,YSU,Youngstown State Penguins,Youngstown St,E51935,690717,196.0,Beeghly Center,Youngstown,OH,14.0,Horizon
214,2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,bc955c,45.0,OU Credit Union O'rena,Rochester,MI,14.0,Horizon
210,94,Northern Kentucky,Norse,NKU,Northern Kentucky Norse,N Kentucky,ffc82e,000000,354.0,Truist Arena,Highland Heights,KY,14.0,Horizon
237,2870,Purdue Fort Wayne,Mastodons,PFW,Purdue Fort Wayne Mastodons,Purdue FW,00378A,f0f0f0,44.0,Memorial Coliseum (IN),Fort Wayne,IN,14.0,Horizon
115,85,IU Indianapolis,Jaguars,IUIN,IU Indianapolis Jaguars,IU Indy,A81F30,d59f0f,19.0,Corteva Coliseum,Indianapolis,IN,14.0,Horizon
244,2523,Robert Morris,Colonials,RMU,Robert Morris Colonials,Robert Morris,00214D,a21d2b,317.0,UPMC Events Center,Moon Township,PA,14.0,Horizon
234,163,Princeton,Tigers,PRIN,Princeton Tigers,Princeton,000000,ff6000,89.0,Jadwin Gymnasium,Princeton,NJ,15.0,Ivy
227,219,Pennsylvania,Quakers,PENN,Pennsylvania Quakers,Penn,082A74,a6163d,252.0,The Palestra,Philadelphia,PA,15.0,Ivy
360,43,Yale,Bulldogs,YALE,Yale Bulldogs,Yale,004a81,286dc0,126.0,John J. Lee Amphitheater,New Haven,CT,15.0,Ivy
58,171,Columbia,Lions,COLU,Columbia Lions,Columbia,174785,004b85,297.0,Levien Gymnasium,New York,NY,15.0,Ivy
60,172,Cornell,Big Red,COR,Cornell Big Red,Cornell,d60027,101010,60.0,Newman Arena,Ithaca,NY,15.0,Ivy
62,159,Dartmouth,Big Green,DART,Dartmouth Big Green,Dartmouth,005730,000000,70.0,Leede Arena,Hanover,NH,15.0,Ivy
107,108,Harvard,Crimson,HARV,Harvard Crimson,Harvard,990000,dbdbdb,29.0,Lavietes Pavilion,Cambridge,MA,15.0,Ivy
30,225,Brown,Bears,BRWN,Brown Bears,Brown,411e09,949300,319.0,Pizzitola Sports Center,Providence,RI,15.0,Ivy
123,314,Iona,Gaels,IONA,Iona Gaels,Iona,6f2c3e,f0ab00,341.0,Hynes Athletics Center,New Rochelle,NY,16.0,MAAC
254,2612,Saint Peter's,Peacocks,SPU,Saint Peter's Peacocks,Saint Peter's,004CC2,,380.0,Yanitelli Center,Jersey City,NJ,16.0,MAAC
83,2217,Fairfield,Stags,FAIR,Fairfield Stags,Fairfield,000000,ebebeb,362.0,Leo D. Mahoney Arena,Fairfield,CT,16.0,MAAC
155,2363,Manhattan,Jaspers,MAN,Manhattan Jaspers,Manhattan,4f8537,b5b7ba,335.0,Draddy Gymnasium,Riverdale,NY,16.0,MAAC
264,2561,Siena,Saints,SIE,Siena Saints,Siena,037961,eea60f,71.0,MVP Arena,Albany,NY,16.0,MAAC
194,315,Niagara,Purple Eagles,NIA,Niagara Purple Eagles,Niagara,69207E,f0f0f0,39.0,Gallagher Center,Niagara Falls,NY,16.0,MAAC
42,2099,Canisius,Golden Griffins,CAN,Canisius Golden Griffins,Canisius,004a81,dda50f,302.0,Koessler Athletic Center,Buffalo,NY,16.0,MAAC
243,2520,Rider,Broncs,RID,Rider Broncs,Rider,a80532,ebebeb,408.0,Alumni Gymnasium (Rider),Lawrenceville,NJ,16.0,MAAC
156,2368,Marist,Red Foxes,MRST,Marist Red Foxes,Marist,e53730,f0f0f0,364.0,McCann Arena,Poughkeepsie,NY,16.0,MAAC
238,2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,249.0,M&T Bank Arena,Hamden,CT,16.0,MAAC
183,116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mount St Marys,005596,ebebeb,46.0,Knott Arena,Emmitsburg,MD,16.0,MAAC
166,2771,Merrimack,Warriors,MRMK,Merrimack Warriors,Merrimack,2f4f93,e8c535,306.0,Hammel Court,North Andover,MA,16.0,MAAC
250,2529,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,387.0,William H. Pitt Center,Fairfield,CT,16.0,MAAC
215,195,Ohio,Bobcats,OHIO,Ohio Bobcats,Ohio,295A29,e4bb85,309.0,Convocation Center (OH),Athens,OH,17.0,MAC
300,2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,0a2240,ffcd00,345.0,Savage Arena,Toledo,OH,17.0,MAC
167,193,Miami (OH),RedHawks,M-OH,Miami (OH) RedHawks,Miami OH,a4000c,f0f0f0,295.0,Millett Hall,Oxford,OH,17.0,MAC
134,2309,Kent State,Golden Flashes,KENT,Kent State Golden Flashes,Kent State,003976,efab00,277.0,M.A.C. Center,Kent,OH,17.0,MAC
353,2729,William & Mary,Tribe,W&M,William & Mary Tribe,William & Mary,103217,f6b220,50.0,Kaplan Arena,Williamsburg,VA,12.0,CAA
28,189,Bowling Green,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,492000,278.0,Stroh Center,Bowling Green,OH,17.0,MAC
351,2711,Western Michigan,Broncos,WMU,Western Michigan Broncos,W Michigan,532e1f,8b7f79,254.0,University Arena (MI),Kalamazoo,MI,17.0,MAC
19,2050,Ball State,Cardinals,BALL,Ball State Cardinals,Ball State,DA0000,ffffff,269.0,Worthen Arena,Muncie,IN,17.0,MAC
79,2199,Eastern Michigan,Eagles,EMU,Eastern Michigan Eagles,E Michigan,00331b,f0f0f0,265.0,Gervin GameAbove Center,Ypsilanti,MI,17.0,MAC
45,2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,C Michigan,6a0032,ffc82e,256.0,McGuirk Arena,Mount Pleasant,MI,17.0,MAC
3,2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,279.0,James A. Rhodes Arena,Akron,OH,17.0,MAC
33,2084,Buffalo,Bulls,BUF,Buffalo Bulls,Buffalo,041A9B,ebebeb,284.0,Alumni Arena,Buffalo,NY,17.0,MAC
267,2569,South Carolina State,Bulldogs,SCST,South Carolina State Bulldogs,SC State,7d1315,104897,43.0,Smith-Hammond-Middleton Memorial Center,Orangeburg,SC,18.0,MEAC
114,47,Howard,Bison,HOW,Howard Bison,Howard,003a63,e51937,325.0,Burr Gymnasium,Washington,DC,18.0,MEAC
67,2169,Delaware State,Hornets,DSU,Delaware State Hornets,Delaware St,FF3630,009cdd,336.0,Memorial Hall (DE),Dover,DE,18.0,MEAC
59,2154,Coppin State,Eagles,COPP,Coppin State Eagles,Coppin St,2e3192,ffd204,298.0,Physical Education Complex,Baltimore,MD,18.0,MEAC
182,2415,Morgan State,Bears,MORG,Morgan State Bears,Morgan St,014786,f47937,54.0,Hill Field House,Baltimore,MD,18.0,MEAC
196,2450,Norfolk State,Spartans,NORF,Norfolk State Spartans,Norfolk St,0c8968,fdb813,118.0,Joseph G. Echols Hall,Norfolk,VA,18.0,MEAC
159,2379,Maryland Eastern Shore,Hawks,UMES,Maryland Eastern Shore Hawks,MD Eastern,5c2301,b5b7ba,303.0,Hytche Center,Princess Anne,MD,18.0,MEAC
199,2428,North Carolina Central,Eagles,NCCU,North Carolina Central Eagles,NC Central,880023,c2c3c0,266.0,McDougald-McLendon Arena,Durham,NC,18.0,MEAC
273,79,Southern Illinois,Salukis,SIU,Southern Illinois Salukis,S Illinois,85283D,c2c3c0,281.0,Banterra Center,Carbondale,IL,19.0,MVC
