"TeamId","TeamSourceId","Team","Conference","Season","Id","Sourceid","Name","FirstName","LastName","Jersey","Position","Height","Weight","HometownCity","HometownState","HometownCountry","DateOfBirth","StartSeason","EndSeason"
"96","45","George Washington","A-10","2022","2823","4700963","Noel Brown","Noel","Brown","24","Center","83","255","Leesburg","VA","","","2021","2023"
"96","45","George Washington","A-10","2022","3483","4432537","Joe Bamisile","Joe","Bamisile","22","Guard","76","200","Chesterfield","VA","","","2022","2022"
"96","45","George Washington","A-10","2022","5190","4897073","Laziz Talipov","Laziz","Talipov","10","Guard","73","165","Orlando","FL","","","2022","2025"
"96","45","George Washington","A-10","2022","7568","4613126","Brayon Freeman","Brayon","Freeman","2","Guard","74","180","Oxon Hill","MD","","","2022","2022"
"96","45","George Washington","A-10","2022","15439","4592251","Qwanzi Samuels","Qwanzi","Samuels","7","Forward","81","205","District Heights","MD","","","2022","2023"
"96","45","George Washington","A-10","2022","16521","4593273","Hunter Dean","Hunter","Dean","12","Forward","82","250","Mandeville","LA","","","2021","2023"
"96","45","George Washington","A-10","2022","16628","4431770","James Bishop IV","James","Bishop IV","11","Guard","74","190","Baltimore","MD","","2000-01-17","2021","2024"
"96","45","George Washington","A-10","2022","20679","4397186","Ricky Lindo Jr.","Ricky","Lindo Jr.","4","Forward","80","220","Washington","DC","","2000-09-23","2021","2023"
"96","45","George Washington","A-10","2022","20680","4396612","Brendan Adams","Brendan","Adams","10","Guard","76","205","Baltimore","MD","","2000-04-03","2022","2023"
"96","45","George Washington","A-10","2022","20681","4897075","Daniel Nixon","Daniel","Nixon","23","Forward","79","225","White Plains","NY","","","2022","2023"
"96","45","George Washington","A-10","2022","20682","4897076","Theofanis Stamoulis","Theofanis","Stamoulis","34","Guard","75","175","Athens","Greece","","","2022","2023"
"96","45","George Washington","A-10","2022","20684","4397216","Amir Harris","Amir","Harris","3","Guard","77","210","Frederick","MD","","","2020","2023"
"96","45","George Washington","A-10","2022","27094","4897074","Tyler Warner","Tyler","Warner","22","Forward","82","250","Rochester","NY","","","2022","2022"
"96","45","George Washington","A-10","2022","27095","4592445","Miles Gally","Miles","Gally","33","Forward","81","220","Rockville","MD","","","2020","2022"
"96","45","George Washington","A-10","2022","27096","4278128","Ira Lee","Ira","Lee","14","Forward","80","240","Los Angeles","CA","","","2022","2022"
"96","45","George Washington","A-10","2022","27097","4279473","Bryan Knapp","Bryan","Knapp","12","Guard","73","190","Washington","DC","","","2022","2022"
"251","2603","Saint Joseph's","A-10","2022","3522","4683952","Erik Reynolds II","Erik","Reynolds II","2","Guard","74","190","Temple Hills","MD","","","2022","2025"
"251","2603","Saint Joseph's","A-10","2022","4766","4897053","Kacper Klaczek","Kacper","Klaczek","6","Forward","80","225","Chorzow","POL","","","2022","2024"
"251","2603","Saint Joseph's","A-10","2022","7247","4701030","Jadrian Tracey","Jadrian","Tracey","2","Guard","78","210","Fort Myers","FL","","","2021","2022"
"251","2603","Saint Joseph's","A-10","2022","7859","4592477","Rahmir Moore","Rahmir","Moore","0","Guard","75","205","Philadelphia","PA","","","2020","2022"
"251","2603","Saint Joseph's","A-10","2022","15796","4701032","Jack Forrest","Jack","Forrest","24","Guard","77","208","Montgomery","PA","","","2021","2022"
"251","2603","Saint Joseph's","A-10","2022","16090","4592476","Cameron Brown","Cameron","Brown","3","Guard","78","225","Laurel","MD","","","2020","2024"
"251","2603","Saint Joseph's","A-10","2022","16091","4431807","Charles Coleman","Charles","Coleman","32","Forward","84","265","Boston","MA","","","2022","2024"
"251","2603","Saint Joseph's","A-10","2022","16092","4912716","Cooper Vogel","Cooper","Vogel","15","Guard","75","180","Howell","NJ","","","2022","2024"
"251","2603","Saint Joseph's","A-10","2022","16093","4706892","Brian Geatens","Brian","Geatens","25","Guard","72","180","Harleysville","PA","","","2021","2024"
"251","2603","Saint Joseph's","A-10","2022","16094","4706891","Chris Arizin","Chris","Arizin","20","Guard","75","200","Media","PA","","","2021","2024"
"251","2603","Saint Joseph's","A-10","2022","21895","4278395","Taylor Funk","Taylor","Funk","23","Forward","80","230","Lancaster","PA","","1997-11-06","2018","2022"
"251","2603","Saint Joseph's","A-10","2022","21979","4701028","Dahmir Bishop","Dahmir","Bishop","1","Guard","77","190","Philadelphia","PA","","","2021","2022"
"251","2603","Saint Joseph's","A-10","2022","22729","4278125","Ejike Obinna","Ejike","Obinna","50","Center","82","245","Enugu","Nigeria","","","2022","2023"
"251","2603","Saint Joseph's","A-10","2022","22730","4701029","Anton Jansson","Anton","Jansson","10","Center","83","250","Stockholm","Sweden","","","2021","2023"
"251","2603","Saint Joseph's","A-10","2022","27078","4701031","Jordan Hall","Jordan","Hall","22","Guard","79","215","Wildwood","NJ","","2002-01-14","2021","2022"
"251","2603","Saint Joseph's","A-10","2022","27079","4710985","Nikkos Luna-Nash","Nikkos","Luna-Nash","21","Guard","72","155","Seminole","FL","","","2021","2022"
"240","227","Rhode Island","A-10","2022","3045","4606837","Ishmael Leggett","Ishmael","Leggett","5","Guard","75","185","Prince George County","MD","","","2021","2023"
"240","227","Rhode Island","A-10","2022","3936","4701259","Ileri Ayo-Faleye","Ileri","Ayo-Faleye","0","Forward","80","210","Lebanon","PA","","","2021","2022"
"240","227","Rhode Island","A-10","2022","6868","4709321","Abdou Samb","Abdou","Samb","12","Forward","80","220","Upper Marlboro","MD","","","2022","2023"
"240","227","Rhode Island","A-10","2022","15312","4431708","Makhi Mitchell","Makhi","Mitchell","15","Forward","82","240","Washington","DC","","","2021","2022"
"240","227","Rhode Island","A-10","2022","15728","4701257","Tres Berry","Tres","Berry","55","Guard","76","183","Cleveland","TN","","","2021","2022"
"240","227","Rhode Island","A-10","2022","15804","4397589","Allen Betrand","Allen","Betrand","9","Guard","77","200","Philadelphia","PA","","","2021","2022"
